,style,gts_len,hypo_len,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
0,essay,21.74418604651163,21.0,0.13467671484944935,0.04258851667132689,0.012892116767395767,1.2785283499078513e-06,0.04306079764031141,0.11380512885206083,0.07104411021611753
1,blog,25.97872340425532,25.0,0.1374894099555176,0.03423568255402848,0.012775758844093626,1.1800743010278403e-06,0.04106639489946621,0.10130539037753118,0.05010832912484979
2,news,25.513513513513512,25.0,0.13768320790968228,0.03697387240859436,0.011631790128270597,1.1731367940867426e-06,0.042972692404329715,0.10616680208188908,0.04714298419461706
3,fiction,21.186046511627907,21.0,0.09110511735799495,0.025100016122378905,9.143085718474517e-08,1.7687744687992692e-10,0.03402206290254958,0.08044427586043258,0.050466671677640566
4,instruction,19.17948717948718,19.0,0.10561029029427797,0.01726427067848981,7.63648376074684e-08,1.630603106077205e-10,0.02667257670856103,0.09041084008664826,0.05080600581882373
5,sns,15.186046511627907,15.0,0.10259554192805548,0.029010666220289746,1.1414029732873369e-07,2.3097776499722614e-10,0.02770503808438621,0.09193772107566633,0.060035310056875534
